lat,lon
37.800310016000026,-122.40410696799995
37.76429244500008,-122.46233737199998
37.832156413000064,-122.37293137999995
37.74758499500007,-122.43291003699994
37.784271998000065,-122.46863697799995
37.77051800800007,-122.45228497399995
37.79505313000004,-122.40050704499998
37.76297002000007,-122.40464500299998
37.57436914300007,-122.33916737399994
37.57436914300007,-122.33916737399994
37.74879299500003,-122.45581098899999
37.75148501900003,-122.46145356299996
37.73495799300008,-122.44365697799998
37.751817982000034,-122.42879502599999
37.78376181400006,-122.38974402899998
37.77110006100003,-122.42242259299996
37.77650068600008,-122.42127262099996
37.78796504500008,-122.45536181499995
37.79085488000004,-122.42067919299996
37.776015991000065,-122.42130302899994
37.77335398300005,-122.47249399399999
37.78678885900007,-122.42150912299996
37.76082199000007,-122.43950299099998
37.785104723000075,-122.44926137599998
37.77513199400005,-122.39769397399999
37.781360206000045,-122.44753779599995
37.784740026000065,-122.44934446499997
37.72524522500004,-122.50311576599995
37.76973999900008,-122.44758700099999
37.72877898000007,-122.40382097799994
37.78791673200004,-122.40001376799995
37.787837995000075,-122.44073102399994
37.729699983000046,-122.42808499499995
37.80666558100006,-122.41232584699998
37.75390837600003,-122.48928914299995
37.831340916000045,-122.37213715599995
37.794568791000074,-122.40337933699999
37.794568791000074,-122.40337933699999
37.78678128900003,-122.40143112199996
37.78677498500008,-122.40233349299996
37.786711006000075,-122.40174000299999
37.775304996000045,-122.47654697999997
37.77852599400006,-122.42368801599997
37.78661542100008,-122.45113799199999
37.77469299200004,-122.43802500999999
37.77740796100005,-122.41981962299997
37.77555471100004,-122.42161806899998
37.77236102000006,-122.42061495899998
37.757924994000064,-122.40934398099995
37.760288020000075,-122.50340502799997
37.76062994700004,-122.40906534599998
37.76185661400007,-122.40965872799995
37.76005001600004,-122.40921003899996
37.76360700300006,-122.50433198299999
37.779994001000034,-122.454524032
37.77786998400006,-122.45499903499996
37.76687121300006,-122.42953459699999
37.782965551000075,-122.40297991699998
37.797218015000055,-122.40611996599995
37.75277900900005,-122.39198296399996
37.75567801600005,-122.41709103899996
37.795776999000054,-122.44409300499996
37.764294989000064,-122.46455599699999
37.75686300700005,-122.41527199899997
37.80095299100003,-122.43673796899998
37.78285371800007,-122.40023337399998
37.76463001400003,-122.40305000999996
37.76463001400003,-122.40305000999996
37.76017100900003,-122.39704303599996
37.77022300600004,-122.44749597399999
37.76984532600005,-122.44864783599996
37.76620819800007,-122.42629769499996
37.76465599800008,-122.42256199099995
38.18897691700005,-122.66376325799996
37.783230305000075,-122.38835417199999
37.76192601200006,-122.50313798099995
37.74588501900007,-122.45250902299995
38.43318048900005,-122.35741901099999
37.78176592800003,-122.39638979999995
37.726763006000056,-122.42131400999995
37.73916901900003,-122.46812199399994
37.802957985000035,-122.43917802499999
37.76034488700003,-122.46332882099995
37.73125700500003,-122.451463967
37.73325747500007,-122.459249995
37.73294101400006,-122.45933298099999
37.73331515600006,-122.45922857199997
37.71169116600004,-122.44609423199995
37.73007368400005,-122.40473667599997
37.77329164300005,-122.42725059899999
37.79841998000006,-122.42954403299996
37.71759669100004,-122.40156747299994
37.74938839500004,-122.50305613199998
37.79553000000004,-122.39342999999997
37.76563926800003,-122.42200080699996
37.76072985300004,-122.43634049699995
37.79534013400007,-122.39387872699996
37.77432103800004,-122.45120216599997
37.78531298900003,-122.46409599799995
37.74195801400003,-122.49567196799995
37.78791210300005,-122.40501352799998
37.78102799200008,-122.50660800499998
37.786706372000026,-122.43007437799997
37.803381786000045,-122.40803351099999
37.797300859000075,-122.44074383099996
37.793165620000025,-122.44419250699997
37.80189435300008,-122.41986385299998
37.79132700400004,-122.44568103999995
37.78895752900007,-122.45557405499994
37.77669601500003,-122.43839901099994
37.75527326400004,-122.41550995499995
37.75984801200008,-122.41662701699994
37.75968256500005,-122.41693822099995
37.75477298000004,-122.41564901699996
37.76298073100003,-122.41228608899996
37.73785269200005,-122.46931465799997
37.766628008000055,-122.42914103099997
37.763723008000056,-122.42654699899998
37.76621901300007,-122.42937102999997
37.75780500700006,-122.48603303099998
37.80242932700003,-122.40296174799994
37.76109000100007,-122.43554203899998
37.760369995000076,-122.42037699699995
37.780497593000064,-122.47846107099997
37.786625051000044,-122.45507815899998
37.740764511000066,-122.46601082499996
37.79249353000006,-122.398582122
37.78948820700003,-122.44447103899995
37.78842900300003,-122.41654101899996
37.793810017000055,-122.40848399799995
37.78846600900005,-122.42678496199994
37.79342556000006,-122.39896248299999
37.74879299500003,-122.45581098899999
37.74879299500003,-122.45581098899999
37.77675048300006,-122.42338016499997
37.73082001500006,-122.44904201599996
37.74474248900003,-122.45257571299999
37.76407898800005,-122.43157102799995
37.73366801800006,-122.40468800199994
