lng,lat
-122.42270398099998,37.79910101000007
-122.43099919899998,37.79195765400004
-122.42939801999995,37.75825201400005
-122.40337828599996,37.75211980300003
-122.42258202399995,37.798362019000024
-122.43661299499996,37.71770501900005
-122.41331800899997,37.78637200000003
-122.44563996899996,37.71222698400004
-122.42943003899995,37.76872298100005
-122.40486703899995,37.75286199000004
-122.43293501499994,37.79199298800006
-122.42418777799998,37.72865373800005
-122.45356486399999,37.76962813500006
-122.43670844099995,37.719313527000054
-122.43369701399996,37.79099600300003
-122.42435708099998,37.80416532100003
-122.40004370499997,37.74270736200003
-122.42270398099998,37.79910101000007
-122.38614698099997,37.73421300900003
-122.45306599999998,37.76874699500007
-122.41236734599994,37.783084417000055
-122.42237901399994,37.74145300400005
-122.41698870599998,37.75882514600005
-122.41331800899997,37.78637200000003
-122.43363197099995,37.72578400000003
-122.40345328299998,37.75312895900004
-122.41106672099994,37.75262941600005
-122.40473804199996,37.752868988000046
-122.43189422599994,37.72804639900005
-122.46296301599995,37.78217899500004
-122.43453989899996,37.713470062000056
-122.42375268499995,37.80343050600004
-122.42270398099998,37.79910101000007
-122.43353096899995,37.790954010000064
-122.44704603299999,37.711403001000065
-122.423723973,37.803434211000024
-122.45295896299996,37.76794698500004
-122.42870180299997,37.76443763300006
-122.44361297299997,37.77736199900005
-122.44361297299997,37.77736199900005
-122.47430096499994,37.71550799600004
-122.44456700199999,37.760048005000044
-122.42694296099995,37.776114018000044
-122.42877096999996,37.775802001000045
-122.45705503199997,37.70981601300008
-122.40891688399995,37.73690814500003
-122.42838196599996,37.75824501500006
-122.45359593399996,37.76978058900005
-122.45350102099997,37.77056901100008
-122.44704988899997,37.778630055000065
-122.41149426099997,37.74786333800006
-122.41386391399999,37.79338117800006
-122.38968799899999,37.782774990000064
-122.40070102599998,37.742449253000075
-122.42020065099996,37.804693447000034
-122.42827468799999,37.75812201200006
-122.42094024,37.79996304100007
-122.44555598199997,37.76944499800004
-122.44998043599998,37.773516190000066
-122.42537202399996,37.75764197900003
-122.42023665699998,37.80488183500006
-122.39424645199995,37.75954700900007
-122.41146092599996,37.74736342700004
-122.42128903099996,37.80167834300005
-122.41435593399996,37.79331855300006
-122.42271797799998,37.79916898700003
-122.41883974599995,37.79787180500006
-122.41950764899997,37.79338981600006
-122.45269803399998,37.76688700900007
-122.41962899599997,37.79739499900006
-122.41150021399994,37.74795260800005
-122.41146330699996,37.74739913500008
-122.45151169799999,37.76797811300003
-122.45276802299998,37.76701701200005
-122.45084999199997,37.76635697900008
-122.406006978,37.75418901200004
-122.45152050499996,37.76743483800004
-122.42207500299997,37.79892800700003
-122.44179255999995,37.78221995800004
-122.42335072799995,37.80348237000004
-122.45276802299998,37.76701701200005
-122.42339800199994,37.797827002000076
-122.44923597299999,37.78152801500005
-122.41146092599996,37.74736342700004
-122.441763633,37.78222761400008
-122.41151330999998,37.74814900200005
-122.44275539299997,37.757334925000066
-122.43282998999996,37.72684200600003
-122.45375482799994,37.77062567400003
-122.452903978,37.76767599800007
-122.41249720799999,37.783149180000066
-122.45308349199996,37.76725754800003
-122.45306599999998,37.76874699500007
-122.41148949899997,37.74779192200003
-122.44030253099999,37.76102023400006
-122.43080601199995,37.72961201500004
-122.41136213699997,37.745174356000064
-122.41154060099996,37.74822125400004
-122.40416203699999,37.75429001400005
-122.42355359899994,37.797053446000064
-122.41481262299999,37.747926033000056
-122.45705503199997,37.70981601300008
-122.43536882699999,37.725621482000065
-122.41481262299999,37.74817272800004
-122.41480395599996,37.74739861900008
-122.42241355499999,37.798890190000066
-122.45001652099995,37.70979970500008
-122.42270398099998,37.79910101000007
-122.39476277399996,37.78111967900003
-122.40557105699997,37.75426934800004
-122.41159100199997,37.74478200300007
-122.43673897499997,37.77666500200007
-122.41154060099996,37.74822125400004
-122.45269803399998,37.76688700900007
-122.42429819699998,37.80336011900005
-122.41150497599995,37.748024024000074
-122.42339800199994,37.797827002000076
-122.45173403199999,37.76701001300006
