lng,lat
-0.198465,51.505538,0
-0.178838,51.491836,0
-0.205590,51.514910,0
-0.208327,51.514952,0
-0.206022,51.496572,0
-0.193610,51.500788,0
-0.173519,51.495171,0
-0.163542,51.492497,0
-0.211980,51.513659,0
-0.199786,51.515900,0
-0.216407,51.518402,0
-0.184495,51.501726,0
-0.172522,51.491289,0
-0.195797,51.492818,0
-0.166886,51.488143,0
-0.166882,51.488233,0
-0.214099,51.514770,0
-0.183889,51.484361,0
-0.207725,51.519259,0
-0.172964,51.491026,0
-0.163102,51.499864,0
-0.192941,51.488548,0
-0.193675,51.488199,0
-0.215564,51.517850,0
-0.185515,51.483307,0
-0.163793,51.496997,0
-0.158276,51.494483,0
-0.194671,51.506739,0
-0.167365,51.483385,0
-0.167321,51.488060,0
-0.172881,51.482302,0
-0.197319,51.509028,0
-0.160434,51.501711,0
-0.215936,51.504636,0
-0.215377,51.526300,0
-0.185591,51.485017,0
-0.164763,51.483614,0
-0.159271,51.501962,0
-0.182860,51.484885,0
-0.166709,51.492547,0
-0.165997,51.492356,0
-0.214056,51.519535,0
-0.205446,51.514908,0
-0.176955,51.488480,0
-0.158650,51.495928,0
-0.227035,51.519372,0
-0.192799,51.499426,0
-0.173334,51.481769,0
-0.196819,51.510729,0
-0.193059,51.500150,0
-0.157984,51.494568,0
-0.170251,51.486847,0
-0.221160,51.514787,0
-0.178139,51.487689,0
-0.218090,51.515910,0
-0.210203,51.511203,0
-0.214021,51.524121,0
-0.209563,51.516499,0
-0.178728,51.480144,0
-0.155880,51.489589,0
-0.203266,51.508040,0
-0.182567,51.481373,0
-0.215743,51.505892,0
-0.157499,51.492312,0
-0.205256,51.516074,0
-0.180503,51.486197,0
-0.193459,51.500965,0
-0.160914,51.496952,0
-0.210912,51.518858,0
-0.179323,51.486898,0
-0.190458,51.489409,0
-0.224558,51.520054,0
-0.201846,51.522136,0
-0.210248,51.517409,0
-0.181786,51.479293,0
-0.178436,51.480230,0
-0.156758,51.492840,0
-0.208464,51.515134,0
-0.193462,51.500875,0
-0.156165,51.489684,0
-0.193610,51.500788,0
-0.169718,51.492953,0
-0.202383,51.512163,0
-0.176260,51.484243,0
-0.167361,51.483474,0
-0.168203,51.487624,0
-0.198869,51.506264,0
-0.194628,51.493250,0
-0.167994,51.492837,0
-0.166620,51.487599,0
-0.167653,51.483389,0
-0.206229,51.498643,0
-0.186404,51.482691,0
-0.173331,51.481859,0
-0.185780,51.480254,0
-0.202664,51.497689,0
-0.173755,51.482045,0
-0.201527,51.508283,0
-0.192790,51.488725,0
-0.182712,51.484972,0
-0.170837,51.486586,0
-0.160578,51.501713,0
-0.161495,51.486080,0
-0.197795,51.511553,0
-0.188655,51.487672,0
-0.157341,51.492670,0
-0.187321,51.492238,0
-0.173897,51.496526,0
-0.204204,51.520824,0
-0.204365,51.509406,0
-0.209282,51.516315,0
-0.178456,51.490572,0
-0.186209,51.502112,0
-0.185633,51.480341,0
-0.184611,51.480685,0
-0.172792,51.495339,0
-0.191112,51.494724,0
-0.173910,51.485375,0
-0.194273,51.509521,0
-0.180618,51.501396,0
-0.188218,51.502323,0
-0.209967,51.517225,0
-0.166296,51.488494,0
-0.169430,51.496546,0
-0.167177,51.488058,0
-0.160171,51.501077,0
-0.167519,51.497505,0
-0.199786,51.515900,0
-0.179172,51.487076,0
-0.216361,51.515883,0
-0.170697,51.490091,0
-0.174990,51.483593,0
-0.180830,51.485213,0
-0.221550,51.515872,0
-0.206402,51.512584,0
-0.175087,51.484764,0
-0.205994,51.515635,0
-0.163316,51.483771,0
