lon,lat,minute
-122.41327601599994,37.796724992000065,1063
-122.43400496499999,37.762780002000056,1236
-122.41327777999999,37.76777574000005,1083
-122.39393999999999,37.79532000000006,1225
-122.42260993599996,37.792190047000076,975
-122.42257267299999,37.79961949300008,1205
-122.42844772699999,37.761508168000034,580
-122.21839855599995,38.117395300000055,638
-122.43815987499994,37.77686004900005,685
-76.28820999999994,2.925000000000068,910
-122.42697003399996,37.79410501800004,886
-122.41866808499998,37.78860798000005,714
-122.46180296099999,37.78331600000007,487
-122.45067900199996,37.76637801800007,874
-122.40043562099999,37.78839360300003,992
-122.426061017,37.74159101200007,551
-122.41250334699998,37.79817498800003,473
-122.414319982,37.74709700000005,697
-122.40573397899999,37.79757998800005,798
-122.06035649899997,37.90308581800008,629
-122.41900496299996,37.80000998500003,567
-122.42116827999996,37.806503304000046,666
-122.43040385299997,37.73193809000003,1025
-122.41151719899995,37.777055129000075,710
-122.39389239999997,37.795355451000034,1005
-122.41925993999996,37.775170048000064,903
-122.47619099999997,37.78538901300004,535
-122.42050800599998,37.75428498500003,715
-122.41478702199998,37.78528298100008,1327
-122.40891688399995,37.73690814500003,627
-122.43499503599998,37.770902988000046,126
-122.42748559599994,37.79059245500008,495
-122.47814398399998,37.786311986000044,817
-122.45538996599998,37.71252299100007,902
-122.433005004,37.753944009000065,721
-122.44389602999996,37.778448000000026,609
-122.41380097499996,37.73491801100005,894
-122.38902292099999,37.77064615300003,983
-122.39038998399997,37.78723998800007,813
-122.42454189899996,37.77660064300005,127
-122.50153200799997,37.76283599300007,454
-122.480843962,37.78116499400005,440
-122.39307150499997,37.79323988600004,1067
-122.40814065099994,37.80734535900007,872
-122.42830401399999,37.772526982000045,1394
-122.43310198299997,37.728311018000056,658
-122.47824061499995,37.778353406000065,1353
-122.41651740799995,37.80518805600008,917
-122.41573710199998,37.75914121400007,666
-122.40187503499999,37.715956009000024,747
-122.41144229599996,37.80294923800005,1003
-122.43048599099995,37.78781100500004,1113
-122.43048599099995,37.78781100500004,1113
-122.43048599099995,37.78781100500004,1114
-122.47594096799997,37.765136993000056,925
-122.41108286299999,37.806971549000025,787
-122.47720191999997,37.77907038400008,1170
-122.44122496899996,37.71536898200003,1070
-122.44619996399996,37.77848798200006,632
-122.44042499999995,37.78967199700003,428
-122.39608699599995,37.78184501800007,726
-122.412186927,37.805735869000046,920
-122.39448338899996,37.77661493200003,1259
-122.41376451999997,37.80567896500003,948
-122.41223590299995,37.80587514400003,943
-122.43580699099999,37.797196013000075,858
-122.40660896599996,37.77821699500004,711
-122.40660896599996,37.77821699500004,842
-122.35709890199996,38.433027871000036,889
-122.46621835099995,37.75648154400005,1088
-122.42716399099999,37.78635301500003,384
-122.40579927099998,37.806846335000046,557
-122.421557114,37.76222257300003,808
-122.39712144799995,37.798362876000056,1179
-122.44086884099994,37.773627661000035,897
-122.40666998699999,37.778265987000054,844
-122.39994996299998,37.782509996000044,839
-122.43954619299996,37.80035267400007,797
-122.39587501699998,37.735672005000026,444
-122.39454512099996,37.796105140000066,1149
-122.43397101899996,37.78339998700005,677
-122.41795303399999,37.78775501400003,1386
-122.39487962699997,37.796449704000054,1195
-122.39123596899998,37.78435200300004,783
-122.47861596899997,37.743489010000076,1258
-122.50243096699995,37.75975199800007,1228
-122.39119531299997,37.78738283800004,978
-122.39228818799995,37.78827628300007,902
-122.44025501499999,37.78884197900004,975
-122.40400674199998,37.805378001000065,830
-122.42573102099999,37.76184198300007,999
-122.48469100399996,37.76160699700006,691
-122.41483681699998,37.80825738800007,824
-122.39524997899997,37.78650699100007,443
-122.42732198999994,37.722115995000024,1212
-122.43861199499997,37.80035402100003,778
-122.41258099499998,37.75895344700007,1044
-122.43900896199995,37.79688999000007,575
-122.41892666899997,37.781517688000065,412
-122.47789696899997,37.755362982000065,814
